card-digitalprofile-name	card-digitalprofile-position	line-clamp-2
ARANCINE SICILIANE SRL	POSIZIONE	C4/048 B
ARCADIA SRLS	POSIZIONE	A6/033
ARDEN TRADING SRL	POSIZIONE	B4/048
ARISTARCO SPA	POSIZIONE	D3/004
ARKMEN LLC	POSIZIONE	C5/186
ARLA FOODS	POSIZIONE	D5/194
AROMA - MACCHINE DA CAFFE'	POSIZIONE	B1/014
AROMATICA SICILIANA SRL	POSIZIONE	B2/042
AROMITALIA - G.E.I. SPA	POSIZIONE	C7/196
AROTZ FOODS S.A.	POSIZIONE	A3/190
ARREDART STUDIO SRL		
ART SERF SPA	POSIZIONE	D2/001
ARTECARTA ITALIA SRL	POSIZIONE	B6/019
Artglace - GELATO DAY - Giornata Europea del Gelato Artigianale	POSIZIONE	A6/047
ARTHEMIA SRL	POSIZIONE	D1/007
ARTI GRAFICHE SCUDERI SRL	POSIZIONE	B4/049
ARTSTEEL S.A.	POSIZIONE	D1/025
ARUSHA COOPERATIVE UNION LIMITED	POSIZIONE	B1/104
ASIT ITALIA SRL	POSIZIONE	A5/192
ASMAT DI DE STEFANO ADRIANO	POSIZIONE	B6/029
ASOCIACIÓN NACIONAL DEL CAFE' DE GUATEMALA – ANACAFE	POSIZIONE	B1/015
ASSHEUER + POTT GMBH & CO. KG	POSIZIONE	B4/045
ASSOCIAZIONE CAFFE' TRIESTE	POSIZIONE	B1/018
ASSOCIAZIONE ITALIANA GELATIERI	POSIZIONE	A5/176
ASSOCIAZIONE ITALIANA PANIFICATORI ASSIPAN	POSIZIONE	D8/070
ASSOCIAZIONE P&C ITALIAN STYLE ETS	POSIZIONE	C2/054
ASSOCIAZIONE VERACE PIZZA NAPOLETANA	POSIZIONE	B8/052
AUDERE PRO SRL - COOKIEMAKER	POSIZIONE	C4/052
AZIENDA AGRICOLA MARTINI SILVIA - NOCCIOLE PIEMONTE IGP	POSIZIONE	A6/058
AZIENDA AGRICOLA NOCCIOLENATURA	POSIZIONE	C1/011
AZIENDA AGRIMONTANA SPA	POSIZIONE	B5/027
AZIENDA MORELLO AUSTERA SOC. AGRICOLA	POSIZIONE	C1/023
AZIENDE AGRICOLE SCYAVURU SRL	POSIZIONE	C4/048 A
AZIENDE CAMPOBASSO SRL	POSIZIONE	B5/001
AZUCREN	POSIZIONE	B4/006
B&B SILO SYSTEMS SRL	POSIZIONE	D7/070
BABBI SRL	POSIZIONE	Hall A7-C7/031
BAIO FOOD S.R.L	POSIZIONE	C4/048 A
BAKERY ARENA	POSIZIONE	B1/103
BALTIC STICKS	POSIZIONE	C2/062
BALUGANI SRL	POSIZIONE	A1/042
BARBARA LUIJCKX SP. Z O.O.	POSIZIONE	B5/011
BARBERA CAFFE' SPA	POSIZIONE	C1/086, C1/086
BARGIORNALE - TECNICHE NUOVE SPA	POSIZIONE	Hall SUD/042
BARILETTI SRL	POSIZIONE	D8/008
BARQUILLOS Y GALLETAS TANIS S.L.	POSIZIONE	A7/012
BARRY CALLEBAUT	POSIZIONE	B3/041, B3/181, B2/044
BARSKIY ENGINEERING PLANT PJSC	POSIZIONE	C5/181
ARTECARTA ITALIA SRL	POSIZIONE	B6/019
ARTHEMIA SRL	POSIZIONE	D1/007
ARTSTEEL S.A.	POSIZIONE	D1/025
ASIT ITALIA SRL	POSIZIONE	A5/192
ASSHEUER + POTT GMBH & CO. KG	POSIZIONE	B4/045
ASSOCIAZIONE CAFFE' TRIESTE	POSIZIONE	B1/018
ASSOCIAZIONE VERACE PIZZA NAPOLETANA	POSIZIONE	B8/052
AUDERE PRO SRL - COOKIEMAKER	POSIZIONE	C4/052
AZIENDA AGRICOLA NOCCIOLENATURA	POSIZIONE	C1/011
AZIENDA MORELLO AUSTERA SOC. AGRICOLA	POSIZIONE	C1/023
AZIENDE CAMPOBASSO SRL	POSIZIONE	B5/001
AZUCREN	POSIZIONE	B4/006
B&B SILO SYSTEMS SRL	POSIZIONE	D7/070
BABBI SRL	POSIZIONE	Hall A7-C7/031
BAIO FOOD S.R.L	POSIZIONE	C4/048 A
BALUGANI SRL	POSIZIONE	A1/042
BARBERA CAFFE' SPA	POSIZIONE	C1/086, C1/086
BARILETTI SRL	POSIZIONE	D8/008
BARQUILLOS Y GALLETAS TANIS S.L.	POSIZIONE	A7/012
BARSKIY ENGINEERING PLANT PJSC	POSIZIONE	C5/181
BARTH GMBH - THERMO FUTURE BOX	POSIZIONE	D1/097
BECKERS ITALY SRL	POSIZIONE	D2/005
BELLADONNA SRL	POSIZIONE	A7/160
BENVENUTO S.N.C.	POSIZIONE	C6/008
BERTO'S SPA	POSIZIONE	D1/098
BERZA SRL	POSIZIONE	C2/001
BEST.COLD SRL	POSIZIONE	B8/099, B8/022
BG PACK SRL	POSIZIONE	D7/143
BHB ITALIA SRL	POSIZIONE	B4/003B, B4/003
BILAIT s.r.l.	POSIZIONE	B3/116
BILGE INOKS SAN. VE TIC. A.S.	POSIZIONE	D3/146
BIO ICE CREAM DOTS SP ZOO	POSIZIONE	C4/102
BIO ITALY NATURE SRL	POSIZIONE	A3/172
BIOGELART SRL	POSIZIONE	C7/054
BIORSAF SRL	POSIZIONE	Hall B6-D6/001
BISCOTTIFICIO CASILINO - F.LLI MASELLA SRL	POSIZIONE	B5/055
Black Knight	POSIZIONE	B1/147, B1/186, B1/152, B1/100
BLUETECH	POSIZIONE	A2/049
BM CONCEPT SRL - BusinessOnTheRoad	POSIZIONE	C5/016
BOB Robotics	POSIZIONE	A2/036
BOB ROBOTICS SRL	POSIZIONE	A2/062, A3/007
BOCCIA CONFETTI SRL	POSIZIONE	B4/002
Boerinneke	POSIZIONE	D5/040
Bogana Fratelli s.r.l.	POSIZIONE	D1/010
BOMBONETTE SPA	POSIZIONE	B4/025
BONFITALY SRL	POSIZIONE	C4/103
BOOXIT ITALIA	POSIZIONE	A4/047
BORGES BRANDED FOODS, SLU	POSIZIONE	B2/030
BORIN SRL	POSIZIONE	D2/009
BORSCI S. MARZANO 1840 SRL	POSIZIONE	C5/192
BOVO SRL	POSIZIONE	C1/036
BRAGARD ITALIA SRL	POSIZIONE	B4/042
BRALYX	POSIZIONE	D4/017
BRAVILOR ITALIA SRL	POSIZIONE	A1/196
BRAVO SPA	POSIZIONE	C5/075, C5/120
BRAZZALE SPA	POSIZIONE	B8/012, B5/021
BREMA GROUP SPA	POSIZIONE	D1/024
BRESKUI SRL	POSIZIONE	B1/194
BREVETTI GASPARIN SRL	POSIZIONE	D7/143
BRIDOR SAS	POSIZIONE	B2/039
BRITA ITALIA SRL		
BRONTE DOLCI SRL	POSIZIONE	B2/003
Bronte lab srl Criscenti artigiani del gusto	POSIZIONE	C4/048 B
BRX SRL	POSIZIONE	A5/009, A5/047
BSD BELGIAN SWEETS DESIGN	POSIZIONE	B3/096
BUBBLETEAITALIA SRL	POSIZIONE	A1/194
BUGAN COFFEE LAB	POSIZIONE	A1/141
BUMATANDA NORTH GROWERS COOPERATIVE SOCIETY LIMITED	POSIZIONE	B1/104
BUONINI SRL	POSIZIONE	B7/208
BURROLIVA	POSIZIONE	D5/043
BUSSY SURL	POSIZIONE	C5/129
BUUKA WOMENS MULTIPURPOSE COOPERATIVE	POSIZIONE	B1/104
BWT ITALIA SRL	POSIZIONE	D1/154
C.B.C. ROYAL FIRST SRL	POSIZIONE	A1/049
C.G.F. FOOD SRL - MIGLIARESE CONSERVE ALIMENTARI	POSIZIONE	A6/033
CAD Italia Srl - FORNI  DAVID	POSIZIONE	D7/083
CAFÈS NOVELL	POSIZIONE	B1/027
Caffè IAQUINTA	POSIZIONE	A6/033
Caffè Toraldo	POSIZIONE	A2/035
CAFFE' BARBARO	POSIZIONE	A1/005
CAFFE' CLUB KAVE' - G.I.FI.ZE. SPA	POSIZIONE	A1/121
CAFFE' FILICORI ZECCHINI - G.I.FI.ZE. SPA	POSIZIONE	D1/080
CAFFE' IZZO	POSIZIONE	B1/112
CAFFE' KREMOSO	POSIZIONE	D1/120
CAFFE' MOLINARI SPA	POSIZIONE	A1/081
Caffe' Moreno Srl	POSIZIONE	D1/040
CAFFE' PASCUCCI TORREFAZIONE SPA	POSIZIONE	A1/187
CAFFEN SRL	POSIZIONE	B1/148
CALWOOD SRL		
CAMBRO MANUFACTURING COMPANY	POSIZIONE	D2/023
CAMPISI CITRUS SRL	POSIZIONE	C3/149
CAMURRI INDUSTRIES SRL	POSIZIONE	B1/199
CANDIA ITALIA SPA	POSIZIONE	B5/056
CANDITI CRISPO SRL	POSIZIONE	B5/058
CANOL SRL	POSIZIONE	D7/034
CAPMIX	POSIZIONE	A7/125
CAPORASO GROUP SRL	POSIZIONE	A6/060
CAPUTO DI CAPUTO AMODIO	POSIZIONE	A6/033
CAPUTO IL MULINO DI NAPOLI		
CARACCIOLO AMANDULA	POSIZIONE	A3/132
CARIMALI SPA	POSIZIONE	A1/197
CARMA	POSIZIONE	C3/164
CARPIGIANI	POSIZIONE	C1/061, C1/016, C2/013, C1/183, C1/143, C1/021
CARPINO SRL	POSIZIONE	C3/195
CARTOPRINT SPA	POSIZIONE	A7/161
CARUSO FRUTTA SECCA SRL	POSIZIONE	C4/005
CASA DELLA MANDORLA SRL	POSIZIONE	A5/015
CASA FOLINO SRL - SOCIETA BENEFIT	POSIZIONE	A6/033
CASCINA FONTANE S.S.A. Atelier della Nocciola	POSIZIONE	A6/008
CASH ITALY SRL	POSIZIONE	A2/060
CASHLOGY by Azkoyen	POSIZIONE	A4/008
CASHMATIC S.p.A.	POSIZIONE	A4/053
CAST Alimenti SRL	POSIZIONE	B8/113, Hall SUD/040
CASTA SRL	POSIZIONE	D1/187
CASTEL MAC SRL	POSIZIONE	D3/120
CATTA 27 SRL	POSIZIONE	A5/166
CB SRL	POSIZIONE	D1/072
CDFOOD SRL	POSIZIONE	B7/008A
